Date,PM25,Ozone,Temperature,Humidity
2024-01-01,9.7,0.02,3.9,77.0
2024-01-02,4.6,0.028,3.6,59.0
2024-01-03,7.5,0.022,3.1,58.0
2024-01-04,5.3,0.031,3.4,57.0
2024-01-05,7.1,0.028,-0.5,59.0
2024-01-06,6.7,0.022,0.1,78.0
2024-01-07,7.2,0.025,4.8,70.0
2024-01-08,7.7,0.027,4.2,62.0
2024-01-09,4.6,0.037,9.2,82.0
2024-01-10,1.7,0.021,8.4,53.0
2024-01-11,3.7,0.027,5.1,64.0
2024-01-12,5.1,0.036,3.7,71.0
2024-01-13,2.7,0.033,3.7,65.0
2024-01-14,3.1,0.036,2.6,47.0
2024-01-15,5.3,0.031,-2.9,81.0
2024-01-16,8.3,0.033,-4.6,71.0
2024-01-17,5.5,0.038,-7.1,49.0
2024-01-18,5.9,0.03,-4.9,59.0
2024-01-19,14.1,0.028,-3.0,76.0
2024-01-20,5.9,0.033,-7.1,56.0
2024-01-21,5.9,0.037,-4.1,54.0
2024-01-22,9.6,0.031,-4.9,61.0
2024-01-23,11.1,0.026,1.2,58.0
2024-01-24,18.9,0.009,5.0,78.0
2024-01-25,9.1,0.012,13.3,89.0
2024-01-26,4.1,0.032,19.7,68.0
2024-01-27,5.7,0.019,10.6,73.0
2024-01-28,2.5,0.022,7.0,87.0
2024-01-29,2.7,0.028,5.6,63.0
2024-01-30,4.1,0.027,5.0,64.0
2024-01-31,7.9,0.021,2.3,79.0
2024-02-01,7.9,0.026,5.1,68.0
2024-02-02,4.9,0.022,7.5,60.0
2024-02-03,3.7,0.028,5.1,57.0
2024-02-04,7.2,0.036,4.5,58.0
2024-02-05,9.1,0.029,4.0,57.0
2024-02-06,6.1,0.034,2.3,54.0
2024-02-07,7.1,0.03,3.4,58.0
2024-02-08,6.5,0.035,6.2,54.0
2024-02-09,10.3,0.038,12.2,52.0
2024-02-10,14.5,0.026,13.6,66.0
2024-02-11,13.3,0.02,10.8,86.0
2024-02-12,15.6,0.02,8.1,90.0
2024-02-13,3.3,0.031,4.7,72.0
2024-02-14,4.3,0.037,2.9,50.0
2024-02-15,5.0,0.035,3.1,58.0
2024-02-16,3.6,0.038,6.7,36.0
2024-02-17,4.7,0.038,0.6,60.0
2024-02-18,5.6,0.039,2.0,44.0
2024-02-19,7.4,0.041,3.1,50.0
2024-02-20,11.6,0.041,2.6,59.0
2024-02-21,5.2,0.041,3.4,62.0
2024-02-22,6.9,0.038,5.3,78.0
2024-02-23,15.2,0.027,6.7,83.0
2024-02-24,7.8,0.038,5.0,65.0
2024-02-25,5.0,0.036,1.7,53.0
2024-02-26,6.6,0.041,10.6,48.0
2024-02-27,15.9,0.043,10.8,69.0
