Date,PM25,Ozone,Temperature,Humidity,Exposure,SimulatedInflammation
2024-01-01,9.7,0.02,3.9,77.0,0.39471519144146633,0.1
2024-01-02,4.6,0.028,3.6,59.0,0.2729484660949931,0.17865606034536657
2024-01-03,7.5,0.022,3.1,58.0,0.3056830482946378,0.22863416314539498
2024-01-04,5.3,0.031,3.4,57.0,0.29681507854705386,0.27010739744380863
2024-01-05,7.1,0.028,-0.5,59.0,0.31275694662943887,0.30310277703066374
2024-01-06,6.7,0.022,0.1,78.0,0.3244437028382787,0.33151628127582394
2024-01-07,7.2,0.025,4.8,70.0,0.34851551303725786,0.357058908232757
2024-01-08,7.7,0.027,4.2,62.0,0.3472147584641945,0.3786978813678053
2024-01-09,4.6,0.037,9.2,82.0,0.3920642038062837,0.3995012720446697
2024-01-10,1.7,0.021,8.4,53.0,0.18011913109487676,0.39873543666157474
2024-01-11,3.7,0.027,5.1,64.0,0.2661927974588243,0.3876567539100538
2024-01-12,5.1,0.036,3.7,71.0,0.3504686303487442,0.3949690696283561
2024-01-13,2.7,0.033,3.7,65.0,0.2684750625541312,0.40018503177086473
2024-01-14,3.1,0.036,2.6,47.0,0.24340328279476628,0.394483455049642
2024-01-15,5.3,0.031,-2.9,81.0,0.3302059654332663,0.39624757809647754
2024-01-16,8.3,0.033,-4.6,71.0,0.375624328975715,0.4096737535466657
2024-01-17,5.5,0.038,-7.1,49.0,0.27311449048338576,0.4141710115145175
2024-01-18,5.9,0.03,-4.9,59.0,0.2779396974229953,0.4092196927919467
2024-01-19,14.1,0.028,-3.0,76.0,0.5005194371776853,0.4267595764602872
2024-01-20,5.9,0.033,-7.1,56.0,0.275911598763464,0.4378236131256203
2024-01-21,5.9,0.037,-4.1,54.0,0.30128377480606866,0.4301081921720671
2024-01-22,9.6,0.031,-4.9,61.0,0.37007535596160934,0.432529776698019
2024-01-23,11.1,0.026,1.2,58.0,0.39715026086677035,0.4424438560903929
2024-01-24,18.9,0.009,5.0,78.0,0.5562600016844943,0.4659708395594587
2024-01-25,9.1,0.012,13.3,89.0,0.41023117276377696,0.4828339374633189
2024-01-26,4.1,0.032,19.7,68.0,0.365065844034583,0.48071896838840017
2024-01-27,5.7,0.019,10.6,73.0,0.3172771214881924,0.47167911168573406
2024-01-28,2.5,0.022,7.0,87.0,0.27938664647783074,0.45777179625378595
2024-01-29,2.7,0.028,5.6,63.0,0.24800068306349637,0.441102195907147
2024-01-30,4.1,0.027,5.0,64.0,0.2747397000362416,0.42784808904402977
2024-01-31,7.9,0.021,2.3,79.0,0.3576795035092605,0.4274416796540276
2024-02-01,7.9,0.026,5.1,68.0,0.36510958080163036,0.4347298375141764
2024-02-02,4.9,0.022,7.5,60.0,0.26965357529195155,0.4321958381030601
2024-02-03,3.7,0.028,5.1,57.0,0.25387269820324115,0.4207472306937164
2024-02-04,7.2,0.036,4.5,58.0,0.3690775510161239,0.4212737219096654
2024-02-05,9.1,0.029,4.0,57.0,0.37485037988530023,0.4318817431453749
2024-02-06,6.1,0.034,2.3,54.0,0.31697216885436763,0.4351339242814307
2024-02-07,7.1,0.03,3.4,58.0,0.3348425124575298,0.4344849603556024
2024-02-08,6.5,0.035,6.2,54.0,0.3458002523918171,0.4364219737588405
2024-02-09,10.3,0.038,12.2,52.0,0.4632225921948413,0.449324338251425
2024-02-10,14.5,0.026,13.6,66.0,0.5410467218761401,0.4746987728796268
2024-02-11,13.3,0.02,10.8,86.0,0.5239598110586721,0.49727769077199385
2024-02-12,15.6,0.02,8.1,90.0,0.5744594659255664,0.5161991774339277
2024-02-13,3.3,0.031,4.7,72.0,0.29350404750954184,0.5116238271952128
2024-02-14,4.3,0.037,2.9,50.0,0.28326730911022907,0.48735441246708094
2024-02-15,5.0,0.035,3.1,58.0,0.30981712650692833,0.4699080097690111
2024-02-16,3.6,0.038,6.7,36.0,0.2532517744105347,0.45348801786530035
2024-02-17,4.7,0.038,0.6,60.0,0.31200695670057166,0.441393540919482
2024-02-18,5.6,0.039,2.0,44.0,0.3035074244608035,0.4360073674310836
2024-02-19,7.4,0.041,3.1,50.0,0.37178588040575977,0.43737276128830016
2024-02-20,11.6,0.041,2.6,59.0,0.48545659801441776,0.4540974811430798
2024-02-21,5.2,0.041,3.4,62.0,0.35283106202294,0.46386310579587736
2024-02-22,6.9,0.038,5.3,78.0,0.42312466567549106,0.46696057684413794
2024-02-23,15.2,0.027,6.7,83.0,0.5754100981556309,0.487324571836109
2024-02-24,7.8,0.038,5.0,65.0,0.41060984988999216,0.49977209307999876
2024-02-25,5.0,0.036,1.7,53.0,0.29685270820813786,0.4879088898967918
2024-02-26,6.6,0.041,10.6,48.0,0.3784434439024874,0.4771138802003924
2024-02-27,15.9,0.043,10.8,69.0,0.6470851836136715,0.4971885476777015
2024-02-28,10.6,0.039,11.1,76.0,0.5282983095590053,0.5209812594004817
2024-02-29,3.7,0.039,4.8,36.0,0.2526605426337201,0.5088178010033505
2024-03-01,4.1,0.042,4.0,52.0,0.3110217621163328,0.4844329177447555
2024-03-02,4.4,0.032,8.6,87.0,0.3742649117281952,0.47518478265222286
2024-03-03,4.9,0.04,10.8,78.0,0.4092031674499831,0.47591514172942634
2024-03-04,3.3,0.041,14.2,68.0,0.3671867406270872,0.4755871402937807
2024-03-05,2.4,0.026,11.9,81.0,0.30028801955779605,0.4664539348359138
2024-03-06,5.8,0.016,12.0,89.0,0.34985831065352835,0.45853522625912624
2024-03-07,3.4,0.036,13.1,72.0,0.35171377978173307,0.45652158348432476
2024-03-08,3.6,0.036,11.4,65.0,0.33258960620730693,0.4534552731132161
2024-03-09,4.9,0.032,8.1,86.0,0.3810605167039465,0.45389353812433025
2024-03-10,2.1,0.039,6.1,57.0,0.2728041881144997,0.44850981809434853
2024-03-11,1.8,0.045,8.1,37.0,0.2532383865904125,0.43376789777026714
2024-03-12,4.2,0.052,12.5,36.0,0.3539903849547085,0.42986208755946115
2024-03-13,7.3,0.054,13.3,50.0,0.4694990242131025,0.4456306008843553
2024-03-14,9.7,0.06,15.6,42.0,0.5404756110101061,0.47246161876715204
2024-03-15,10.7,0.044,17.8,58.0,0.536301691287947,0.4966749680688356
2024-03-16,3.9,0.045,13.1,47.0,0.3439415547099946,0.49849212326288095
2024-03-17,4.2,0.046,15.6,41.0,0.350535843623051,0.4864660757406716
2024-03-18,3.4,0.041,6.2,40.0,0.27034784932542955,0.47099361960695973
2024-03-19,3.3,0.041,6.4,40.0,0.2688965022711535,0.4525924466201585
