Parameter,Change,Mean inflammation,Mean change (%),Maximum inflammation,Inflammation AUC
alpha_value,-20%,0.4341405211065226,-11.147539987077984,0.5448452205866893,158.1941490506729
alpha_value,+20%,0.5333397729306674,9.154867015962253,0.6489373229109657,194.35080265577108
beta_value,-20%,0.5053592904624765,3.4283002045745077,0.6186570675007613,184.15240429576045
beta_value,+20%,0.4729393096222111,-3.206867238186695,0.5884150002769192,172.33550146110264
gamma_value,-20%,0.5233092863560547,7.101998500004838,0.6351051603205372,190.69510286244244
gamma_value,+20%,0.4582474460066026,-6.213746718346659,0.5744981936551611,166.98041853196867
medication_value,-20%,0.5053592904624765,3.4283002045745077,0.6186570675007613,184.15240429576045
medication_value,+20%,0.4729393096222111,-3.206867238186695,0.5884150002769192,172.33550146110264
initial_I,-20%,0.48836838764091023,-0.04910731704736827,0.6031204220562677,177.9691846941739
initial_I,+20%,0.48884717828055524,0.048883365912127726,0.6031267978960217,178.12394431223152
